hash,repository_name,qwenmax_optimization_summary_final,qwenmax_is_generic_optimization_final,dsv3_optimization_summary_final,dsv3_is_generic_optimization_final
786b2603db86141c624703335a93a2aa1b60a858,3DWorld,"The optimization strategy involved reordering the texture load operation to occur after polygon addition, reducing peak memory usage during model loading.",False,"The optimization strategy involved reordering operations to delay texture loading until after polygon addition, thereby reducing peak memory usage during large model loading.",False
85a5ac00e0c5335309d5e7951e9f2a5d32b8024e,llvm-leg,The optimization strategy involved restructuring the function to reduce unnecessary computations and improve the efficiency of processing logical immediates.,False,The optimization strategy involved improving the efficiency of the function `processLogicalImmediate` by refining its logic to handle immediate values more effectively.,True
64143619ab52bac3705de2671e9c789d119312df,FreeBSD-src,The optimization strategy replaces a loop-based TLB invalidation process with a single 'tlbilx' instruction on newer cores to reduce clock cycles and improve performance.,False,The optimization strategy replaces a slower TLB invalidation loop with a faster 'tlbilx' instruction on newer cores.,False
880ddb018a4bdcff00d35f28988d9eddb557b8e6,llvm-leg,The optimization strategy used is to replace a linear search with a binary search and introduce a single-entry cache to reduce the time complexity of lookups in the `Loop::isLCSSAForm` function.,True,The optimization strategy used was implementing a binary search and a single-entry cache to speed up the `Loop::isLCSSAForm` function.,True
4192bce91b2c4baf36d3cec47eeb33b2ef93648b,BsodSurvivor,The optimization strategy reduces the creation of unnecessary fall-through basic blocks and deep recursion in switch-case code generation by consolidating multiple sequential cases into a single target block.,False,The optimization strategy involves reducing the number of fall-through basic blocks and deep recursion in code generation by consolidating sequential cases in a switch statement to a single label.,True
a881617a1a9a49561022de53c2cf863cac0e0394,pbrt-v4,"The optimization strategy used was to parallelize the execution of a loop in the `createBuildInputForBLPs` function, likely leveraging multi-threading or GPU parallelism to improve performance.",True,The optimization strategy involved parallelizing the `OptiXAggregate::createBuildInputForBLPs()` function to improve performance by leveraging concurrent execution.,True
a20f0935cf31bdeec1527852e8973c7e137115f3,MediaInfoLib,"The optimization strategy involved introducing a dedicated reading thread to improve the speed of reading large files, particularly during full parsing, while addressing crashes with certain MOV files.",False,"The optimization strategy involved using a dedicated reading thread to improve the speed of reading big files, especially for full parsing.",False
71258981c116a51930dddde4bac6c1d2a3601dd5,calligra,The optimization strategy involved improving the efficiency and accuracy of the `mixColors` function by refining its algorithm or reducing unnecessary computations.,False,The optimization strategy involved improving the speed and accuracy of the `mixColors` function by refining its color mixing algorithm.,False
d8ecb7e7dcd153b757b48b5666a13bbe5c509cc3,frequensea,The optimization strategy involved simplifying the loop logic and reducing unnecessary computations within the `pixel_inc` function to improve performance.,True,"The optimization strategy involved modifying the `pixel_inc` function to reduce its computational overhead, as identified by gprof as the bottleneck.",False
0a4652663e3cd378113d51e1d076504c8e96b308,tensorflow-directml,The optimization strategy involved reserving space in advance for a vector to reduce the overhead of repeated memory reallocations during push_back operations.,True,The optimization strategy involved reserving space in advance for a container to avoid repeated reallocations during `push_back` operations.,True
24436a540d16ca6a523b8e5441180001c31b6b35,selinux-kernel,The optimization avoids a large rounding error in the pclk calculation by replacing the use of drm_mode_vrefresh() with a more precise method.,False,The optimization strategy avoids using `drm_mode_vrefresh()` to reduce rounding errors in the calculation of the DSC pclk rate.,False
a882beb2402fa232cb05d05ee4b277f15895214c,open62541,The optimization strategy involved reducing the socket timeout from 300ms to 1ms to prevent resource blocking and improve responsiveness in the subscriber server.,False,The optimization strategy involved reducing the socket timeout from 300ms to 1ms to minimize waiting time and improve resource utilization in the subscriber server.,False
415be93bec7d1d7b594d1132cc05b471e3443142,FreeRDP,The optimization strategy involved correcting the handling of performance flags to ensure proper functionality and potentially improve performance.,False,The optimization strategy involved correcting the handling of performance flags to ensure proper performance settings are applied in the Android client.,False
eaa75527d673c76888921fa7678ddf00d9880458,MuseScore,The optimization strategy involved reducing redundant calculations by caching and reusing results within the `Measure::moveTicks` function.,True,The optimization strategy involved reducing redundant calculations and improving loop efficiency in the `Measure::moveTicks()` function.,True
e7b8f6fe48b10c7ed1cc493002d45b064cba780d,ladybird,"The optimization strategy divides each scanline into prologue, aligned run, and epilogue to reduce the number of one-by-one pixel operations by leveraging faster memory fills for grid cell slices.",False,"The optimization strategy involves dividing each scanline into prologue, aligned run, and epilogue sections to minimize one-by-one pixel drawing and maximize fast memory fills for grid cell slices.",False
0afabc1fdb98edac2c1ea2bbc0712a495599acec,linux-rockchip,"The optimization strategy eliminates redundant unpoisoning of memory objects in `kasan_kmalloc_large()` by leveraging the fact that they are already unpoisoned elsewhere, thus reducing unnecessary operations.",False,"The optimization strategy involves reducing redundant unpoisoning operations in `kasan_kmalloc_large()` by only poisoning the redzone, as the object is already unpoisoned by `alloc_pages()` or `ksize()`.",False
477e88ee9e13d6902e359f9af526ac2eee6407a0,BsodSurvivor,The optimization strategy reduced memory consumption in allocator tests to ensure compatibility with devices having limited memory (1GB).,False,The optimization strategy involved reducing the memory consumption of the allocator test to ensure it fits within the constraints of a 1G device.,False
7cabe39aae99ca73b74f4e7da4282042a1fa5423,foundationdb,The optimization strategy involved reducing the delay for candidacy in a low-latency workload to improve recovery speed.,False,The optimization strategy involved reducing the delay parameter `DELAY_CC_WORST_FIT_CANDIDACY_SECONDS` to improve performance in the LowLatencyWorkload setup.,False
f989d315a85f7abc510a5497234984c8a6d0e9de,Floorp,The optimization strategy involved changing the file copying mechanism from loading the entire file into memory to copying it in smaller blocks to reduce memory usage.,True,The optimization strategy involves copying a file in blocks instead of loading the entire file into memory to reduce memory usage during large file copies.,True
73d609777538fe9d7b4b87321921c8b68fd79f9f,Principia,The optimization strategy involved parallelizing the genetic algorithm to improve computational efficiency by leveraging multiple threads or processes.,False,The optimization strategy involved parallelizing the genetic algorithm to improve performance by leveraging concurrent execution.,True
723f41aa2dd617dad4529463225c400cd2075bce,dealii,The optimization strategy involved replacing a value parameter with a reference parameter to avoid unnecessary copying of data.,True,The optimization strategy involved removing unnecessary value parameters to avoid copy overhead in the `HDF5Object::set_attribute` function.,True
b493e23067e1243456e807fb95dca621c2c66094,PhotoshopAPI,The optimization strategy involved replacing a loop with a more efficient bitwise operation to reduce computational overhead during RLE decompression.,True,The optimization strategy involved slightly improving the RLE decompression algorithm to enhance performance.,True
a3814e36356fb339f0d22d19a886a7bb68a9161f,server,The optimization strategy involved correcting a false assumption in the `tdc_wait_for_old_versions` function to prevent live-lock conditions during concurrent table operations.,False,The optimization strategy involved fixing a live-lock issue by removing a false assumption in the `tdc_wait_for_old_versions` function to prevent infinite looping and CPU hogging during concurrent FLUSH TABLES operations.,False
1780d7bb5d02e007f52d800a78904555aa42af6a,wayfire,The optimization strategy involved simplifying the visibility computation logic to reduce unnecessary checks and improve efficiency.,False,The optimization strategy involved reducing redundant visibility computations by caching and reusing previously calculated visibility states.,True
bd91eafb73453d04d6997a4aca8f926cdf20f06a,Q2RTX,The optimization strategy involved caching memory for image readbacks to reduce the overhead of repeatedly allocating and deallocating memory during screenshot operations.,False,The optimization strategy involves using cached memory for image readbacks to improve the speed of taking screenshots.,False
fac64bf456cf56f0c6309d21286b7eaf170f668e,gccrs,The optimization replaces a less precise macro check with a more specific one to enable reciprocal math optimizations where appropriate.,False,The optimization strategy involves replacing a less precise macro (`__GCC_IEC_559 == 0`) with a more precise macro (`__RECIPROCAL_MATH__`) to improve performance in division operations.,True
d2b0652b32b8671c9ec4057e6da2fa564d1cc610,rocksdb,The optimization strategy involves reducing redundant computations by calculating the compaction score once for a batch of range file deletions instead of recalculating it for each individual deletion.,False,"The optimization strategy involves computing the compaction score once for a batch of range file deletions instead of recalculating it for each deletion, reducing redundant calculations.",True
6c24b26f91a792627a7fc1383004aae22b76fbd8,cachegrand,The optimization strategy refactors the Redis GET command to avoid unnecessary fiber context switches when sending small data back to the client.,False,The optimization strategy refactors the Redis get command to reduce unnecessary fiber context switches when sending small data back to the client.,False
e30965acdd51056d0f72fad9687771652c47d3fa,athena,"The optimization strategy involves adding an error check to prevent inefficient resource usage when the number of OpenMP threads exceeds the number of MeshBlocks, ensuring threads do not sit idle.",False,"The optimization strategy involves adding an error check to prevent OpenMP threads from sitting idle when there are more threads than MeshBlocks, improving efficiency by avoiding unnecessary thread allocation.",False
ee05b0a83df7464448f52aa2b2b3f3ae90c3eb47,overwitch,The optimization strategy used was merging two separate loops into a single loop to reduce CPU time.,True,The optimization strategy involved merging two separate loops into one to reduce CPU time.,True
6c04b3ae15889eeaa7cf85a3e9b81c6d8cb7d2f9,tensorflow,The optimization strategy involved improving the allocation logic for output tensors in MKL-based convolution operations to enhance performance during ResNet-50 FP32 inference.,False,The optimization strategy involved improving the performance of ResNet50 FP32 inference by enhancing the allocation of output tensors in the MKL convolution operations.,False
c37463345f2e91c9071deef2ccca7e7bc9d0b5a1,pybricks-micropython,The optimization strategy involved reducing redundant calls by using a single function to set both input and output baud rates simultaneously.,True,The optimization strategy involves setting both the input and output baud rate simultaneously using a single function call to reduce redundant operations.,True
74a2354353813db529ae123858bafba86cd12110,viewer,"The optimization strategy involved replacing a more general but potentially slower method (`setupVertexBuffer`) with a faster, specialized method (`setupVertexBufferFast`) where applicable.",False,The optimization strategy involves replacing `setupVertexBuffer` with `setupVertexBufferFast` to reduce overhead in vertex buffer setup.,True
280d40b3e06d8bb8ec4af35823802f1823511ad5,sparselizard,The optimization strategy involved reducing redundant computations by caching and reusing results within the function.,True,The optimization strategy involved reducing redundant computations by caching frequently accessed data within the `defineinneroverlapinterfaces` function.,True
22028aa9ab27cf860b74d12e006f82ff551caee0,rocksdb,"The optimization ensures that compaction reads strictly adhere to the user-specified `compaction_readahead_size` by preventing additional bytes from being read, aligning behavior with user expectations and reducing unnecessary I/O overhead.",False,The optimization strategy involved ensuring that compaction reads strictly adhere to the `compaction_readahead_size` limit to avoid unnecessary data fetching.,False
b2929c469c08599941e0975a380fa8108e5a2b8d,xxHash,The optimization replaces two `vpxor` instructions with a single `vpternlogd` instruction in AVX-512 to reduce instruction count and improve performance slightly.,False,The optimization strategy involved replacing two `vpxor` instructions with a single `vpternlogd` instruction in AVX-512 code to reduce the number of instructions executed.,True
e5d8d4d6514600f49a6aae2811e3b6fd33c2ef54,ghostpdl,The optimization avoids searching through all allocated blocks when freeing a heap block by directly managing memory validity.,False,The optimization strategy avoids searching through every allocated block when freeing a heap block to speed up the heap freeing process.,True
f1bc2b187c72d7fa165e48b0120a41f7caf4272f,scummvm,The optimization strategy involved hoisting a storage pointer to a local variable to prevent the compiler from reloading it during each iteration of array operations.,True,The optimization strategy involves hoisting the storage pointer of an array to a local variable to prevent the compiler from reloading it in every iteration of a loop.,True
4903d2eace3a564a68e27855d61bf885e46ea812,wildmeshing-toolkit,The optimization strategy involved replacing a slower envelope computation with a faster alternative to improve performance.,False,The optimization strategy involves using a fast envelope algorithm to improve performance in the test case for smooth operations.,False
bffd7bea76f7ce98bd69bc468fa0d93b93d6c431,pachi,The optimization strategy replaced a bitmap with a move queue and introduced short-circuit logic to improve the speed of the `board_group_find_extra_libs` function.,False,The optimization strategy involved replacing a bitmap with a move queue and fixing the logic to allow short-circuiting for faster execution.,True
739294fb03f590401bbd7faa6d31a507e3ffada5,kmsan,The optimization strategy involves conditionally overriding the final test in the migrate_degrades_locality function during idle balancing to reduce unnecessary NUMA-related checks and improve performance.,False,The optimization strategy involves overriding part of the `migrate_degrades_locality()` function during idle balancing to improve performance in specific benchmark scenarios.,False
8673b83bf2f013379453b4779047bf3c6ae387e4,android_kernel_oneplus_msm8998,The optimization strategy involves setting the current frequency based on the target P-State to ensure correct initial frequency alignment and avoid unnecessary calls to the target routine.,False,"The optimization strategy involves setting the current frequency based on the target P-State to ensure the correct initial P-State is applied, fixing a regression where the default governor wouldn't enable turbo mode correctly.",False
9d00c20ae6169bf7aeaae6611063d7e88ff243ef,OpenMS,The optimization strategy involved reducing unnecessary computations in the RNaseDigestion::digest function by improving the logic for handling unspecific cleavage on long RNAs.,False,The optimization strategy involved improving the performance of unspecific cleavage on long RNAs in the RNaseDigestion::digest function by reducing unnecessary computations and streamlining the digestion process.,False
fc0fed3fc7159d17dc6a08e91a4eda413ace3642,clang,The optimization avoids counting diagnostics when not generating current diagnostics to improve performance and GCC compatibility.,False,The optimization strategy involves avoiding the count of diagnostics when not generating caret diagnostics to improve GCC compatibility and testing efficiency.,False
630a2e6d19fc0163e06d90c6257cc2f2412b6072,TheXTech,The optimization strategy involved restructuring the loop and condition checks to minimize redundant operations and improve the efficiency of `iBlock` handling.,False,The optimization strategy involved improving the efficiency of handling iBlock in the PSwitch function by reducing redundant checks and streamlining the logic.,True
fcb423f3f69225e0be896cb10b34b9628ab666f2,ardour,The optimization avoids redundant path calculations by directly rendering all four sides of a rectangle in a single operation.,True,The optimization strategy involves reducing redundant path operations in the rendering of rectangles with all four sides outlined to improve drawing efficiency.,True
8052d043a48f733905e8ea8f900bf58b441a317f,kmsan,The optimization strategy replaces a heavy function call with multiple lighter calls to reduce overhead in a hot path.,False,The optimization strategy involves replacing a single heavy `copy_from_kernel_nofault()` call with multiple lighter `copy_inst_from_kernel_nofault()` calls to reduce overhead in a hot path.,False
c4ad247b7aa09f2fd9c90c92a23eeebe5c72f256,FreeBSD-src,"The optimization strategy coalesces adjacent TLS headers and trailers in mbuf chains to reduce scatter/gather list fragmentation, improving PCIe bus efficiency.",False,The optimization strategy involves coalescing adjacent TLS trailers and headers to reduce scatter/gather list inefficiencies and improve PCIe bus efficiency.,False
707b0c9cc4d5335d04fce4addb8ed2f158cbd1c0,tensorflow-directml,The optimization strategy involved replacing a loop that repeatedly accessed a Java array with a single direct access to improve JNI performance.,True,The optimization strategy involved improving JNI performance by reducing unnecessary object allocations and method calls in the `Java_org_tensorflow_lite_Tensor_shape` function.,True
544c4cb58b22d25f92f2ea5e77f29fee44845ca6,novacoin,The optimization strategy pre-calculates the midstate of the first 24 static bytes to avoid redundant hashing operations on the full 28-byte sequence.,False,The optimization pre-calculates the midstate from the first 24 bytes of a static kernel sequence to avoid redundant hashing operations.,False
55d1e8bceb0f8d3a4b1f128bb938a8506e5c5718,media-driver,The optimization strategy involved reducing redundant operations in the Fast Dump usage for 1D buffer dumps by improving the logic for handling buffer allocations and memory mappings.,False,The optimization strategy involved improving the efficiency of Fast Dump usage in 1D buffer dump operations.,False
5cba060842da98cc0ad8545e1cdd358a040d630a,Fulcrum,The optimization strategy involved pre-allocating memory for a hash table using `map.reserve()` to minimize dynamic allocations during block processing.,True,The optimization strategy involved pre-allocating memory for a hash table using `map.reserve()` to reduce the number of allocations during block processing.,True
be7d512e17f0829e115a2cfbca8edb0f07d8bc36,open_spiel,"The commit reintroduces a special-case optimization for the `UpdateIncrementalStateDistribution` function in UniversalPoker, likely reducing redundant computations or improving efficiency for a specific scenario.",False,The optimization strategy involves reintroducing a special-case optimization for the `UpdateIncrementalStateDistribution` function in UniversalPoker to improve performance.,False
849c3e45173f4dee3c3797b49382e8f4efb5dc37,OpenDDS,The optimization strategy involved reducing mutex contention by restructuring the locking mechanism in the Thrasher Test's PublisherService.,False,The optimization strategy involved reducing mutex contention in the PublisherService::createPublisher function to improve performance.,False
e4411622690654cdc530c6262c7115a9e15dc359,gcc-darwin-arm64,"The optimization strategy eliminates redundant path calculations in the `find_paths_to_names` function by leveraging previously resolved paths, reducing unnecessary calls to the path solver.",True,The optimization strategy involves avoiding redundant calculations by reusing previously resolved paths instead of recalculating them for each exported range.,True
b8cea7cc279fe609de85b7ce4f50d4ff4f90047f,rocksdb,The optimization strategy involved replacing erase operations with iterator-based erase to improve performance by avoiding unnecessary lookups.,True,The optimization strategy involved using iterators for erasing elements to improve performance.,True
72334282a29ed09c28a5205339ec333bac869906,intel-graphics-compiler,"The optimization introduces a heuristic to skip unnecessary liveness analysis reruns by checking the candidate size on each iteration, reducing redundant computations.",False,"Added a heuristic to skip liveness analysis reruns when the candidate size is too small to impact register pressure, reducing compilation time.",True
d56ce03a409825e09dff0bfdfeee79c8a5002b16,relic,The optimization strategy involved restructuring the BLS signature verification process to reduce redundant computations and improve efficiency.,False,The optimization strategy involved improving the efficiency of BLS signature verification by reducing computational overhead in the verification process.,False
28caf97f02c72e4ab39645be8203adc5bb015718,ain,The optimization strategy involved reusing a single CTransaction object to avoid redundant conversions and hash recalculations.,True,The optimization strategy involves reusing a single CTransaction object instead of repeatedly converting CMutableTransaction to CTransaction to avoid redundant hash recalculations.,True
711fe232dcd2c66806a4eb675e1620eee2cb9a8c,cloud-kernel,The optimization strategy skips unnecessary TLB flushes during retried page faults to mitigate performance regression caused by excessive spurious flushes.,False,The optimization strategy involves skipping spurious TLB flushes during retried page faults to mitigate performance regression.,False
53bdb06987fc1381dffe93209d850931588df616,wesnoth,"The optimization strategy fixed a memory leak by preventing redundant additions to a cache that was not properly flushed, thus avoiding unbounded growth.",False,"The optimization strategy involved fixing a cache bug by preventing the addition of redundant greyscaled images to the reversed_cache during each redraw, which was causing infinite growth in the cache.",False
5478c5fcd4bcc74c5da64238f86d3132c3dc755e,embox,"The optimization strategy involved writing raw data directly to flash memory without using a buffer, reducing overhead and improving speed.",False,The optimization strategy involved writing raw data directly to flash memory without using a buffer to speed up the formatting process.,False
9bf811dae443794594615625577277852edc181b,kmsan,"The optimization strategy involves attempting to destroy secure pages during memory teardown instead of exporting them, which is faster when applicable.",False,"The optimization strategy involves attempting to destroy secure pages directly during memory teardown to avoid the slower export process, falling back to export if destruction fails or if it's not a teardown.",False
3aeea4fc835d31235947787c2b8dcbc255131106,selinux-kernel,The optimization strategy replaces `page_mapcount()` with `folio_mapcount()` in `zap_present_folio_ptes()` to improve efficiency and catch more underflows during batch unmapping for large folios.,False,The optimization strategy involves replacing `page_mapcount()` with `folio_mapcount()` in `zap_present_folio_ptes()` to more efficiently detect underflows during batch-unmapping of large folios.,True
4e7a898d7ebf82462d895827580009902496854f,Pikafish,The optimization avoids unnecessary computation in the SEE evaluation for king moves by leveraging the fact that legal king moves cannot have negative SEE values.,False,The optimization strategy removes unnecessary checks for negative SEE (Static Exchange Evaluation) in king moves since they are guaranteed to be legal and thus cannot have negative SEE.,False
64ac0e1cddff681409ecf95293824f95039f099c,NX-FPS,The optimization strategy involved reducing the frequency of file write operations by buffering data and writing in larger chunks.,True,The optimization strategy involved improving file output performance by reducing the number of write operations through buffering.,True
01cbdd2aae8f998e3e532dec06f0f373a6cff719,rocksdb,The optimization strategy involved adjusting the compression starting level and other storage parameters to better suit the spatialDB workload.,False,The optimization strategy involved adjusting storage parameters to start compression at an earlier level (level 1 instead of level 2) and modifying other related settings for better performance.,False
e592ea8ddffb44bab52d36d9862bb39ffae4d144,gcc,"The optimization strategy involves enabling the use of power-aligned loads for single-lane SLP by treating non-grouped accesses like non-SLP, resolving missed opportunities in vectorization.",False,"The optimization strategy involves treating non-grouped accesses in single-lane SLP like non-SLP to enable the use of power realign loads, improving alignment handling in vectorization.",False
177aa816abd6c737617a72ad86fc1734a2bae7b5,php-ext-zstd,"The optimization removes unnecessary checks for FAST_ZPP support since PHP7 inherently supports it, reducing redundant conditional evaluations.",False,The optimization strategy involved removing redundant checks for FAST_ZPP support since PHP7 inherently supports them.,True
0b02da5b99e89347f5f8bf875ec8318f84adff18,gcc,The optimization ensures scalar uses are recorded for BB reduction remain defs to correctly compute live lanes and restore vectorization.,False,"The optimization strategy ensures that scalars added to the BB reduction vectorization result are recorded as scalar uses to compute live lanes, restoring vectorization in specific cases.",False
ce4d80cfda0b3e3cc70aedbaeed3c5bb824ce7d7,libulz,The optimization strategy involved reducing unnecessary memory shifts in the `sblist_delete` function by directly overwriting the deleted element with the last element in the list.,True,The optimization strategy involved reducing unnecessary memory operations by directly manipulating pointers in the sblist_delete function.,True
65e69dcf3e4803a8e60f888dba68cf0db4a55e6f,OpenCPN,The optimization strategy involved reducing redundant OpenGL state changes by caching and reusing pattern rendering settings.,False,The optimization strategy involved improving the performance of OpenGL pattern rendering by modifying the rendering process in the `s52plib::RenderToGLAP` function.,False
e9895752a396c4acb8c2b4ba525c13329d4e9fab,libplist,The optimization avoids unnecessary heap allocation by directly reading the size from the binary stream instead of creating and freeing an intermediate node.,False,The optimization strategy avoids unnecessary heap buffer allocation by directly reading size values from the binary stream instead of parsing and freeing temporary nodes.,True
ba10dad8a5cc983c6d26fb4bb47251defe286d24,seqtk,The optimization strategy involved restructuring the parsing logic to minimize unnecessary memory operations and improve cache efficiency.,True,"The optimization strategy involved improving the parsing performance of FASTA files by enhancing the `ks_getuntil2` function, doubling throughput to 2GB/s.",False
565d0b74e8bb66c0ff8aa42db225d6eb11258dac,PandA-bambu,"The optimization strategy involved improving the handling of multiplication by an unsigned constant, likely through more efficient code generation or transformation.",True,The optimization strategy involved improving multiplication by an unsigned constant to enhance performance.,True
50f5921425afbc5edb9a296343706ac260ce6a86,wiredtiger,The optimization avoids unnecessary cleanup of reconciliation boundary structures by short-circuiting the process when the list is empty or not large enough to justify the operation.,False,The optimization strategy involves short-circuiting the cleanup of reconciliation boundary structures to avoid performance bottlenecks caused by large lists.,False
ca50fedd06d93e3942609d947700d559561e07da,swipl-devel,The optimization strategy involved relocating the computation of atom-hash outside of a locked section to reduce contention and improve concurrency.,False,The optimization strategy involved moving the computation of atom-hash outside of a locked area to reduce contention and improve performance.,True
89a06f6651882248e185bb597135af3249ec8f6a,Pikafish,"The optimization removes an unnecessary explicit check for castling moves in the `pl_move_is_legal` function, as it is already implicitly covered by the king move check and is rare enough to slow down performance.",False,"The optimization strategy removes a redundant check for castling moves, leveraging the fact that it is implicitly covered by the king move check and is rarely encountered.",True
d40132ac72a03d78c67e1f1e2b4fc26b309c0452,NanoVNA-D,The optimization strategy involved reducing redundant calculations within the loop to improve drawing performance.,True,The optimization strategy involved reducing redundant calculations and simplifying the logic in the `cell_drawline` function to improve drawing performance.,True
68fca82f46bea2688259f87a2691fea27da5f882,revng,The optimization strategy involves reducing the number of calls to `updateNodes` by invoking it only on parent metaregions instead of all metaregions.,False,The optimization strategy involves reducing redundant calls to `updateNodes` by only invoking it on parent metaregions instead of all metaregions.,True
55a2abfe31b82af13a77c3dc89913774f667b898,libvpx,The optimization strategy involved simplifying the logic in the loop to reduce unnecessary computations during partition pruning.,True,The optimization strategy involved reducing the number of function calls and simplifying the logic in `ml_pruning_partition()` to achieve a small speedup.,True
e967a7602f838eeae2a9f1bc7c2d0a8d86d4e4e9,3DWorld,The optimization strategy involved replacing a less efficient drawing method with a more efficient `glDrawArrays()` call to improve rendering performance.,False,The optimization strategy involved replacing a less efficient drawing method with a more efficient `glDrawArrays()` call in the `sd_sphere_d::draw_ndiv_pow2()` function.,True
4b7e1ac7947e13746735ab5bfa069b08c0b0c0ae,notepad-plus-plus,The optimization strategy involved reducing redundant operations by caching and reusing results within the loop.,True,The optimization strategy involved improving the performance of opening all search results by reducing redundant operations and streamlining the process.,False
